Broad Sample.ID,Experiment (TMT10plex)
C3N.01799,1
C3N.01799.N,1
C3L.01890,1
C3L.01890.N,1
C3N.00572,1
C3N.00572.N,1
C3N.02423,1
C3N.02423.N,1
C3N.02729,2
C3N.02729.N,2
C3L.00263,2
C3L.00263.N,2
C3N.01410,2
C3N.01410.N,2
C3N.00578,2
C3N.00578.N,2
C3N.02587,3
C3N.02587.N,3
C3L.00893,3
C3L.00893.N,3
C3N.01488,3
C3N.01488.N,3
C3N.01413,3
C3N.01413.N,3
C3N.01030,4
C3N.01030.N,4
C3N.02588,4
C3N.02588.N,4
C3N.00552,4
C3N.00552.N,4
C3L.01889,4
C3L.01889.N,4
C3N.00169,5
C3N.00169.N,5
C3L.00422,5
C3L.00422.N,5
C3L.00083,5
C3L.00083.N,5
C3N.00551,5
C3N.00551.N,5
C3N.01842,5
C3N.02089,6
C3N.02089.N,6
C3L.01682,6
C3L.01682.N,6
C3N.01016,6
C3N.01016.N,6
C3N.00580,6
C3N.00580.N,6
X11LU013,6
C3N.02000,7
C3N.02000.N,7
C3N.01489,7
C3N.01489.N,7
C3N.00737,7
C3N.00737.N,7
C3N.01405,7
C3N.01405.N,7
C3N.02587.1,7
C3N.01416,8
C3N.01416.N,8
C3N.02149,8
C3N.02149.N,8
C3N.02424,8
C3N.02424.N,8
C3L.00279,8
C3L.00279.N,8
C3N.02379,8
C3L.00095,9
C3L.00095.N,9
C3N.02572,9
C3N.02572.N,9
C3N.00559,9
C3N.00559.N,9
C3N.00545,9
C3N.00545.N,9
X11LU016,9
C3L.02345,10
C3L.02345.N,10
C3L.00093,10
C3L.00093.N,10
C3L.00510,10
C3L.00510.N,10
C3L.00913,10
C3L.00913.N,10
X11LU022,10
C3L.00412,11
C3L.00412.N,11
C3N.01415,11
C3N.01415.N,11
C3N.00549,11
C3N.00549.N,11
C3N.02433,11
C3N.02433.N,11
C3N.01021,12
C3N.01021.N,12
C3N.00203,12
C3N.00203.N,12
C3L.01330,12
C3L.01330.N,12
C3N.00574,12
C3N.00574.N,12
X11LU035,12
C3N.01071,13
C3N.01071.N,13
C3N.00550,13
C3N.00550.N,13
C3N.00167,13
C3N.00167.N,13
C3L.00001,13
C3L.00001.N,13
C3N.01074,13
C3L.01632,14
C3L.01632.N,14
C3N.02155,14
C3N.02155.N,14
C3N.00217,14
C3N.00217.N,14
C3N.02002,14
C3N.02002.N,14
C3N.02145,15
C3N.02145.N,15
C3N.02586,15
C3N.02586.N,15
C3L.02219,15
C3L.02219.N,15
C3N.00180,15
C3N.00180.N,15
C3L.01862,15
C3N.00704,16
C3N.00704.N,16
C3N.02158,16
C3N.02158.N,16
C3N.02421,16
C3N.02421.N,16
C3N.00556,16
C3N.00556.N,16
C3N.00294,16
C3N.01072,17
C3N.01072.N,17
C3L.00094,17
C3L.00094.N,17
C3L.00144,17
C3L.00144.N,17
C3N.00223,17
C3N.00223.N,17
C3N.02380,17
C3L.01924,18
C3L.01924.N,18
C3N.00433,18
C3N.00433.N,18
C3L.01683,18
C3L.01683.N,18
C3N.00293,18
C3N.00293.N,18
C3N.02380.N,18
C3L.00009,19
C3L.00009.N,19
C3N.00546,19
C3N.00546.N,19
C3N.01414,19
C3N.01414.N,19
C3N.02087,19
C3N.02087.N,19
C3L.00140,20
C3L.00140.N,20
C3N.02529,20
C3N.02529.N,20
C3L.00368,20
C3L.00368.N,20
C3N.02067,20
C3N.02067.N,20
C3N.02422,20
C3L.00080,21
C3L.00080.N,21
C3N.00547,21
C3N.00547.N,21
C3N.01023,21
C3N.01023.N,21
C3N.01024,21
C3N.01024.N,21
C3L.00973,22
C3L.00973.N,22
C3L.02348,22
C3L.02348.N,22
C3L.02508,22
C3L.02508.N,22
C3N.00560,22
C3N.00560.N,22
C3L.00604,23
C3L.00604.N,23
C3N.00199,23
C3N.00199.N,23
C3N.00579,23
C3N.00579.N,23
C3N.02582,23
C3N.02582.N,23
C3N.02379.1,23
C3L.02350,24
C3L.02350.N,24
C3N.00738,24
C3N.00738.N,24
C3N.00959,24
C3N.00959.N,24
C3N.02003,24
C3N.02003.N,24
C3N.02379.N,24
C3N.00175,25
C3N.00175.N,25
C3N.01823,25
C3N.01823.N,25
C3L.02549,25
C3L.02549.N,25
C3L.02365,25
C3L.02365.N,25